X (mg),Y (mg),Z (mg)
60,31,1009
93,112,1126
8,-58,1221
-20,120,1332
-66,87,1442
-227,255,1323
-392,268,1272
-447,391,1088
-434,405,1120
-372,375,1129
-510,269,937
-323,319,1095
-372,293,854
-236,254,934
-369,394,1118
-210,143,689
-161,124,726
-56,72,723
-34,73,771
-44,-17,684
4,-13,718
64,1,738
15,5,725
54,35,797
-17,-50,896
26,-62,891
39,17,1071
38,-2,1023
41,-65,938
40,-37,1027
37,-10,1084
40,-8,1029
35,-21,1039
24,-21,1017
37,-45,998
55,-30,998
64,-1,1021
-33,-43,686
1,-7,23
1,-6,27
2,-6,32
4,-4,44
5,-2,51
5,-2,64
2,-3,81
-5,-2,108
-799,-147,1998
1,14,-11
53,-45,-44
-1609,1693,1998
-638,-432,849
-389,-173,961
-401,-135,907
-450,-139,907
-420,-131,906
-435,-128,907
-430,-128,908
-430,-130,908
-434,-129,909
-433,-130,908
-429,-127,910
-433,-130,908
-427,-129,904
-426,-131,915
-437,-138,904
-430,-126,912
-427,-128,910
-435,-126,910
