X (mg),Y (mg),Z (mg)
-278,-23,970
-290,-19,979
-291,-37,971
-264,-29,982
-269,-26,976
-275,-31,978
-278,-29,984
-382,-253,1083
-54,373,1222
-120,125,1287
-132,128,1459
-265,216,1311
-199,227,1482
-307,271,1513
-514,288,1213
-429,328,1084
-262,209,1231
-335,216,976
-344,148,1110
-210,141,919
-158,161,724
-19,79,670
-52,-76,509
-70,-128,705
-21,-130,635
-2,-145,630
117,-42,702
21,-26,842
-8,-42,834
-26,-56,911
-47,-40,992
-21,-49,988
33,-34,1054
-12,-50,1015
0,-54,967
2,-24,993
-38,-25,1026
0,-12,1049
-15,-8,1044
2,-19,973
26,-11,994
73,-35,887
0,-6,18
1,-6,24
3,-5,28
5,-4,36
7,0,47
14,3,60
17,6,71
11,4,85
-777,1372,1998
1,16,-4
1,15,-2
350,-1932,743
49,-164,497
-8,-35,1001
11,75,1026
13,78,1013
