X (mg),Y (mg),Z (mg)
-26,40,1061
-24,41,1060
-24,40,1062
-24,40,1063
-22,36,1063
-28,43,1065
-21,36,1065
-26,42,1065
-24,42,1065
-26,41,1066
-24,43,1066
-26,41,1067
-24,40,1067
-25,44,1067
-18,49,1070
-35,48,1068
-142,64,1080
-123,44,1054
-215,33,1042
-356,43,986
-556,-5,908
-600,2,859
-702,-21,767
-726,-5,729
-757,5,675
-823,12,553
-874,18,422
-975,-46,288
-1036,-24,227
-1045,-19,84
-1000,-10,64
-1002,-8,50
-997,-9,63
-1000,-10,60
-999,-9,59
-998,-7,65
-998,-3,62
-999,-7,57
-999,-7,59
-1000,-7,57
-1000,-6,56
-999,-6,59
-1000,-6,57
-998,-8,61
-1000,-7,56
-999,-7,62
-998,-7,56
-1001,-9,57
-1007,-8,58
-1024,-7,70
-1014,-13,122
-981,-11,206
-967,-10,295
-893,28,487
-795,-8,546
-754,-7,688
-641,-2,779
-534,0,865
-424,-16,928
-371,-15,971
-209,21,1015
-104,63,1036
-42,81,1043
40,83,1065
-5,82,1054
-7,77,1058
-6,72,1060
-14,77,1061
-8,74,1064
