X (mg),Y (mg),Z (mg)
-12,4,1024
-10,0,1023
-15,1,1023
-10,-1,1023
-10,0,1022
-10,2,1023
-9,0,1023
-11,2,1022
-10,0,1023
-11,0,1022
-10,0,1021
-12,0,1023
-10,1,1023
-8,0,1022
-12,-1,1023
-9,4,1023
-9,2,1022
-13,2,1024
-8,0,1023
-12,2,1024
-9,1,1023
-12,1,1024
-10,0,1023
-9,0,1024
-14,0,1024
-13,1,1024
-12,2,1024
-15,-1,1023
4,0,1032
-45,-1,1028
-113,-3,1014
-159,0,1007
-251,-2,988
-275,-3,983
-370,-8,949
-455,-11,908
-493,-4,877
-593,-8,821
-638,-3,787
-695,-8,739
-715,-13,712
-748,-3,675
-813,-18,612
-837,-33,565
-862,-9,519
-898,-9,449
-917,-12,376
-981,1,318
-993,-19,154
-1016,-7,77
-997,-15,63
-1001,-18,76
-998,-14,71
-998,-20,80
-998,-13,73
-998,-17,80
-997,-16,77
-998,-15,78
-998,-16,76
-997,-16,79
-997,-17,78
-998,-16,75
-997,-15,79
-998,-16,76
-997,-17,79
-999,-15,75
-999,-17,79
-998,-16,77
-999,-16,77
-999,-15,77
-1000,-14,76
-1022,-20,89
-980,-14,163
-994,-17,193
-984,-8,260
-956,-15,359
-881,2,466
-801,-14,593
-723,6,707
-653,-9,761
-552,21,846
-497,-12,895
-359,1,941
-287,0,978
-191,-1,1004
-127,5,1018
-64,4,1022
128,-1,1064
-8,2,1026
-13,0,1026
-10,3,1025
-10,1,1026
-10,-1,1025
