X (mg),Y (mg),Z (mg)
-1,0,1021
-9,2,1022
0,1,1025
-9,0,1024
-3,5,1023
-4,-1,1024
-6,4,1022
-1,0,1024
-8,3,1024
-2,3,1023
-7,3,1024
-53,11,1079
-15,2,1060
62,0,1017
153,7,1080
174,48,1055
313,-5,959
483,12,864
594,0,863
645,4,790
714,19,712
755,15,674
807,9,600
859,16,523
879,10,487
928,10,381
962,13,292
994,19,195
1002,7,136
1024,-1,74
999,19,91
999,16,86
999,21,88
999,14,90
1000,16,90
999,15,87
999,17,91
999,18,87
999,16,94
999,15,85
998,17,91
1000,16,88
1000,15,87
1000,18,90
1013,19,84
1014,29,136
966,29,290
916,8,402
828,15,568
727,21,684
650,14,760
563,33,888
488,-6,876
422,11,928
326,14,987
251,19,996
185,-10,1022
119,-13,1020
58,-39,1062
-15,0,1017
-3,3,1026
-4,1,1025
-1,0,1026
-7,4,1025
