X (mg),Y (mg),Z (mg)
168,98,489
-416,218,794
-336,199,982
-268,173,970
-249,165,972
-254,152,967
322,-43,996
-212,277,1306
-123,196,1288
-130,135,1193
-58,361,1592
-330,472,1494
-419,360,1314
-402,465,1045
-407,447,1080
-430,390,828
-404,333,841
-356,259,998
-185,160,578
-144,93,709
-112,42,542
-62,11,749
-8,-43,614
30,-82,719
-9,-75,575
-2,-13,753
-19,38,859
-110,-37,918
-8,7,983
-56,-30,1017
-35,5,1036
-125,-21,1016
-28,-11,956
-18,19,1056
-47,17,1019
-53,-9,974
-22,3,987
-38,16,1004
-35,21,1065
-35,22,1044
-12,1,983
3,15,933
0,-5,21
-1,-6,25
2,-6,28
2,-5,33
6,-6,43
11,-7,48
13,-8,59
12,-7,68
37,-139,158
-16,-16,-20
-4,-7,8
-1098,1144,1736
209,-35,-17
-445,-116,1562
361,-29,987
-2,52,1032
28,54,1021
43,51,1016
49,50,1011
45,50,1007
43,49,1017
45,45,1016
52,38,1003
195,40,910
