X (mg),Y (mg),Z (mg)
-8,4,1023
-1,4,1024
0,2,1025
-8,0,1025
-1,4,1024
-2,1,1025
-6,1,1025
-4,2,1025
-2,0,1025
-6,3,1025
-2,2,1025
-4,2,1025
-5,3,1025
-1,2,1024
-8,1,1031
-59,9,1139
111,26,987
249,-7,989
322,-6,957
583,55,793
671,19,732
789,15,615
849,33,540
865,22,523
911,27,433
921,12,404
959,25,317
989,8,238
966,17,233
995,12,148
1003,17,102
993,13,96
999,13,87
999,13,81
999,18,88
998,16,83
999,19,87
998,17,84
1000,22,90
1016,17,56
997,21,126
980,19,222
936,29,316
816,17,559
766,10,632
634,16,800
569,32,908
504,5,876
442,13,920
435,7,909
317,9,979
269,-1,975
185,8,1013
100,-7,983
3,-12,1032
-6,-10,1028
-5,-1,1021
-4,5,1021
-6,6,1022
