X (mg),Y (mg),Z (mg)
29,83,1014
30,80,1008
31,81,1011
26,84,1014
25,83,1012
25,82,1011
39,-42,1188
110,37,1029
62,52,1005
396,139,1059
56,158,1180
8,159,1392
53,29,1295
-57,280,1191
-3,529,1515
-81,356,1330
-289,211,1258
-312,294,998
-259,357,1119
-320,292,869
-291,270,851
-216,353,948
-270,203,736
-25,267,791
-98,113,560
-34,154,868
-58,103,789
-72,-1,708
-34,2,801
64,4,793
125,64,866
59,27,611
23,50,766
-13,86,887
-45,94,1040
6,125,1144
-28,70,1094
19,82,1043
3,61,1022
2,24,985
7,53,1026
19,56,1026
12,79,1042
-11,42,1009
-7,43,1025
29,45,1032
-11,20,991
35,49,1013
2,25,1019
31,33,1034
14,13,1004
17,2,1003
28,36,1050
21,16,1008
26,17,1018
28,14,1034
30,11,968
163,51,805
0,-8,21
1,-6,24
4,-6,31
8,-6,38
13,-2,50
19,0,59
18,1,72
11,-1,90
-53,-131,195
3,-7,12
1,-8,16
574,800,1420
531,423,1023
204,230,1059
