X (mg),Y (mg),Z (mg)
201,96,995
199,93,996
191,90,996
192,90,996
189,90,998
192,90,996
191,90,997
195,91,990
194,91,985
345,40,969
216,175,922
227,237,996
-211,348,1244
-49,243,1116
196,-9,1088
-72,-108,1096
-238,-9,1310
-421,104,1086
-378,92,1043
-615,-171,1079
-607,-133,1276
-408,-69,1210
-538,-133,1283
-683,181,1226
-667,35,1227
-512,105,979
-481,-10,979
-286,-99,697
-256,-77,747
-150,-179,579
-187,-220,580
-123,-216,714
-112,-106,801
-137,-142,750
-95,-202,850
3,-144,817
-37,-203,806
-31,-192,854
14,-153,856
-35,-178,740
-139,-189,1046
-116,-99,1069
-134,-91,1109
-48,-49,1024
16,-9,958
-30,-69,878
-20,-81,961
1,-66,1028
-23,-73,980
-20,-57,1020
-77,-63,1009
-58,-48,1019
-23,-33,1013
-38,-59,1014
-19,-51,1015
5,-31,1018
-9,-41,1049
15,-34,978
9,-53,1018
0,-81,985
-24,-89,1001
-13,-76,1014
0,-58,1026
-4,-63,1018
0,-68,1025
4,-64,1021
-9,-67,1037
-19,-69,1036
-28,-65,1062
-13,-70,1022
17,-80,986
57,-20,13
0,-6,27
0,-6,33
0,-5,40
0,-5,47
-1,-3,65
-6,-3,82
-8,-5,98
-31,-3,174
0,32,-94
0,42,-6
-178,1184,532
-215,-496,842
-266,-248,1015
