X (mg),Y (mg),Z (mg)
-9,75,1064
-7,75,1065
-11,77,1065
-9,79,1064
-9,76,1066
-11,81,1065
-10,75,1067
-15,76,1067
-7,74,1067
25,82,1077
-3,79,1078
-115,65,1056
-291,50,1011
-408,29,973
-493,3,931
-678,-1,864
-645,-5,822
-678,-6,773
-740,-10,708
-784,-12,647
-848,3,541
-903,-9,477
-918,15,366
-929,-35,233
-880,0,-24
-1011,-12,76
-1004,-4,58
-1001,-6,59
-999,-5,66
-1000,-10,62
-998,-3,68
-1001,-7,68
-1000,-5,63
-1000,-7,70
-999,-7,61
-1000,-8,66
-997,-10,67
-999,-10,69
-1006,-7,63
-958,-27,106
-1017,-17,113
-997,-5,137
-1000,-28,201
-971,27,339
-878,-26,398
-777,8,572
-715,-4,710
-677,-34,758
-658,-7,787
-593,-4,842
-511,-5,889
-432,10,947
-308,13,984
-242,15,1012
-196,21,1021
-142,20,1035
-96,16,1038
-18,34,1060
-22,37,1056
-25,40,1056
-21,48,1060
-28,45,1059
-20,44,1061
