X (mg),Y (mg),Z (mg)
-164,-238,973
-165,-238,974
-160,-231,960
-190,-265,974
28,-208,1208
57,-273,1146
13,-84,1248
35,-339,1267
-252,-73,1542
-421,266,1449
-598,39,1604
-359,121,1347
-373,75,1048
-229,-35,1131
-421,74,1283
-389,77,910
-364,-37,1039
-263,-23,729
-162,-17,598
-129,-40,723
-40,-26,572
12,-61,708
47,-49,724
83,19,752
32,-2,711
37,-60,763
-44,-109,882
-78,-101,937
-22,-77,1035
-75,-67,1184
-37,-50,997
-77,-62,970
3,-37,878
-11,-20,1024
-48,-1,1052
-43,-24,1037
-23,-23,1023
-25,-20,1021
-32,-52,959
5,-14,1037
-17,-31,977
-7,-8,1045
-8,-17,1009
-1,-10,1027
-26,-16,1006
-22,-2,1036
9,-18,866
-1,-5,19
-2,-5,23
2,-5,25
4,-5,31
11,-5,39
16,-6,47
23,-10,56
19,-12,64
1016,1997,1998
-61,-4,-31
-59,0,-27
-1998,959,1663
-140,5,84
-293,273,677
-151,137,799
-162,181,1013
-190,168,969
-227,172,970
