X (mg),Y (mg),Z (mg)
-240,-25,992
-260,-12,983
-278,-19,971
-271,-23,982
-261,-21,980
-267,-22,980
-269,-24,977
-251,-25,967
-282,-33,981
-271,-16,957
-1148,-361,904
-156,17,982
-57,-61,1165
-95,-50,1214
-414,-108,1110
-294,-377,1353
-524,-73,1609
-506,-88,1288
-534,-324,1453
-723,-25,1187
-531,128,1306
-544,188,1192
-517,170,897
-381,-48,697
-504,-141,582
-353,-225,683
-19,-14,501
-100,-148,433
-62,-108,791
12,-78,512
115,-100,660
247,12,816
249,67,753
-45,18,950
-113,7,855
-48,27,1032
68,31,1054
49,14,1092
22,9,1049
-12,-21,1024
6,-40,989
50,-48,973
52,-58,1005
85,-47,993
85,-41,1026
52,-48,1003
63,-38,1046
66,-20,1023
36,-52,1012
41,-48,990
31,-60,1010
38,-46,1009
36,-38,1025
51,-19,1012
1,-15,34
-1,-6,21
1,-6,24
5,-5,32
11,-3,42
19,-2,51
25,0,63
25,0,71
18,-3,90
-18,-20,-22
-17,-18,-6
-481,-100,489
43,-102,262
97,188,693
-528,-91,806
-110,44,927
-221,-20,976
-288,-29,998
