X (mg),Y (mg),Z (mg)
48,-14,1019
60,-13,1012
64,-14,1009
-131,251,1476
-158,39,1152
-489,-76,694
39,-125,712
-215,-311,831
-19,-182,1168
-80,-2,1263
-334,-415,1423
-186,-435,1418
-217,-456,1432
-152,-364,1440
-392,-727,1308
-375,-588,982
-201,-550,960
-144,-652,1037
-112,-606,740
-182,-574,920
-75,-606,593
76,-306,554
-77,-162,688
79,-144,421
166,-237,517
84,-134,646
211,-110,809
52,-105,810
47,-55,909
-10,10,895
-68,-45,888
-17,16,1021
-28,16,952
-31,-6,967
-74,36,1024
-39,46,1049
-43,33,1014
-39,24,984
-18,33,1019
-21,30,1006
-4,8,999
-1,9,1007
-17,0,967
7,-4,635
0,-6,20
-1,-6,25
4,-5,28
4,-5,36
10,-4,44
16,-3,58
13,-4,72
10,-6,85
-589,58,1244
1,-5,10
-1,-6,20
239,354,1449
-391,-29,1598
-213,49,1027
-183,25,990
-201,23,1005
