X (mg),Y (mg),Z (mg)
120,193,989
108,182,987
111,192,997
107,189,991
110,189,993
110,190,995
114,194,991
106,188,996
98,176,1004
-224,76,1009
690,222,1025
172,182,1089
329,154,1503
99,214,1460
-290,403,1486
-260,534,1383
-246,513,1167
-313,465,1001
-243,286,923
-369,139,992
-224,312,1010
-190,258,1048
-146,234,861
-167,93,578
-93,57,824
0,3,661
-21,-51,603
46,-59,696
105,-8,582
39,25,807
-3,5,957
48,-75,802
55,-79,845
-20,-49,961
-32,-4,1056
-50,-22,1034
-80,-30,1035
-63,-17,966
-42,-16,1006
-31,-12,1066
-42,-11,1036
-39,-14,1002
-46,-31,1056
-26,-23,996
-32,-13,997
-6,4,1021
11,2,988
17,0,1000
31,1,962
-40,-47,438
-3,-5,21
1,-4,23
3,-6,30
10,-4,37
20,-3,44
27,-4,54
32,-6,67
30,-8,79
-171,-66,-133
-70,-26,-45
-102,-14,-35
-659,165,172
-1564,335,844
-881,172,773
411,105,1100
-546,156,1352
-147,86,966
