X (mg),Y (mg),Z (mg)
-195,93,991
-187,103,989
-328,59,1162
-593,-109,963
-218,185,891
-16,61,973
-276,276,527
-267,71,1142
-123,35,1465
189,81,1506
-544,341,1166
-144,215,1645
-396,515,1573
-342,439,1323
-554,254,1244
-428,459,1068
-418,272,924
-298,195,917
-182,33,528
-164,-33,575
-117,-5,641
-92,-99,458
-44,-120,476
81,-45,674
-3,-34,819
30,-65,739
-69,-81,880
-104,-111,909
-5,-73,1013
-41,-78,978
-25,-32,1071
-106,-61,944
-49,-33,972
-72,-21,1058
-102,-48,1000
-93,-34,1054
-132,-65,1032
-76,-52,1030
-98,-53,1001
-51,-35,993
-55,-48,999
-60,-38,972
0,-6,21
-1,-7,24
0,-7,30
6,-6,36
7,-6,42
8,-5,50
9,-4,60
9,-4,73
63,-1088,1273
-15,-13,-10
-3,-3,6
-254,831,1188
216,-163,180
-428,16,1169
-12,-6,1075
41,-7,1020
