count,mean,std,min,25%,50%,75%,max
113.0,968.5837569459246,359.6723230098089,23.280893453645632,1001.179804031224,1019.4729030239107,1039.423878886761,2903.9528233082574
85.0,903.1519314736611,356.620163369278,27.65863337187866,869.6786762937218,1018.3221494203099,1049.8395115445028,1419.2653028944237
72.0,858.9770339333653,417.38413712548083,21.863211109075447,768.1683736386648,1003.2007494524889,1031.1153690857918,1693.7490959407182
58.0,890.9805161172194,506.69783642876286,15.165750888103101,684.412025629032,998.0222369130788,1052.9596162344094,2545.2145292686037
72.0,884.5249467141615,397.11861040983183,14.212670403551895,807.7943525431808,1014.6706353212049,1045.5041787982786,1727.9687497174248
67.0,872.2013877955231,424.276880749573,21.79449471770337,700.393712290566,1002.8564204311602,1056.9741093654445,1808.4957837938136
70.0,1022.6281333511423,28.503511482899395,947.5120052009895,1002.318928303097,1018.8133885204304,1043.0029222636501,1107.7228895351038
71.0,1022.5928099925819,161.16509244315372,624.3252357545705,980.8450049362307,1019.6283636698226,1068.1717733505993,1419.2653028944237
61.0,1005.5193616410108,251.30624130955874,284.4239792985113,951.2355123732502,1013.4623821336439,1048.5842836892034,1693.7490959407182
45.0,1024.3963461884255,227.18362948240505,517.2629892037512,953.1746954257651,1016.0816896293329,1055.0644530074928,1567.4370800769007
60.0,1021.4656912688827,177.3991713447788,579.6317796670572,970.3756288899342,1018.1396703392027,1059.7871627282104,1604.704022553692
55.0,1035.1196585608395,248.51291364273962,442.32680226276136,965.3506477270791,1016.7939810994162,1074.0299331259757,1808.4957837938136
77.0,1012.495851619988,13.262821417424455,957.5374666298965,1001.5358206275001,1013.0375116450525,1023.0395886768019,1056.8727454145082
93.0,1015.118411893321,12.118398997354662,991.1654755892176,1002.8015755871148,1019.3865802530461,1023.0708675355779,1071.67205804761
77.0,1016.6217974682364,24.52021460873626,959.5029963475882,1003.1041820269717,1014.1740481791081,1025.0297556656587,1187.3289350470661
68.0,1023.2084225232984,23.469458483816375,958.9374327869364,1002.7622280656954,1017.9120787180001,1048.508401481445,1060.956643788991
69.0,1033.234231216842,30.740999993336988,964.471357791407,1001.8482919085104,1036.5071152674254,1063.8825123104525,1091.1736800344847
63.0,1028.4306448681573,37.38870535252982,880.3272118933959,1003.0433275711734,1028.2261424414378,1060.511652608337,1098.2627190249152
107.0,1021.4201463171358,14.545848993010994,989.3002577579772,1013.9129134912962,1024.007812470198,1025.004146333048,1093.9945155255577
69.0,1018.3200163464188,18.715264793518674,989.2279818120795,1003.3035433008298,1017.0275315840767,1025.0195120094056,1100.1040859845943
59.0,1015.5504312818089,22.254007727618593,985.7804015093828,1002.9955128597778,1011.4281981435954,1025.0021951195718,1140.5625804838594
64.0,1019.1948720089918,20.301702062025264,989.9136325962987,1003.8021354508902,1016.8824651592513,1025.0024390159167,1090.8061239285375
61.0,1018.4453637018603,22.131617807003387,975.4839824415366,1003.1365809300347,1016.7502151462767,1026.0087718923264,1114.4469480419425
57.0,1018.6871676690407,27.44244051073306,980.8664537030512,1003.0842437203368,1022.0675124471965,1025.0165852316732,1166.116203472021
